,columns,missing values count
230,Sensor - 231,35
231,Sensor - 232,35
232,Sensor - 233,35
233,Sensor - 234,35
234,Sensor - 235,35
235,Sensor - 236,35
236,Sensor - 237,35
237,Sensor - 238,35
238,Sensor - 239,14
239,Sensor - 240,14
240,Sensor - 241,35
241,Sensor - 242,35
242,Sensor - 243,35
243,Sensor - 244,35
244,Sensor - 245,2016
245,Sensor - 246,2016
246,Sensor - 247,2016
247,Sensor - 248,3899
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,168
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,21
257,Sensor - 258,21
258,Sensor - 259,21
259,Sensor - 260,21
260,Sensor - 261,21
261,Sensor - 262,21
262,Sensor - 263,21
263,Sensor - 264,21
264,Sensor - 265,21
265,Sensor - 266,21
266,Sensor - 267,21
267,Sensor - 268,21
268,Sensor - 269,21
269,Sensor - 270,21
270,Sensor - 271,0
271,Sensor - 272,7
272,Sensor - 273,21
273,Sensor - 274,91
274,Sensor - 275,91
275,Sensor - 276,91
276,Sensor - 277,91
277,Sensor - 278,91
278,Sensor - 279,56
279,Sensor - 280,14
280,Sensor - 281,14
281,Sensor - 282,14
282,Sensor - 283,14
283,Sensor - 284,14
284,Sensor - 285,21
285,Sensor - 286,21
286,Sensor - 287,21
287,Sensor - 288,21
288,Sensor - 289,21
289,Sensor - 290,21
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,5397
293,Sensor - 294,5397
294,Sensor - 295,7
295,Sensor - 296,7
296,Sensor - 297,7
297,Sensor - 298,7
298,Sensor - 299,7
299,Sensor - 300,7
300,Sensor - 301,7
301,Sensor - 302,7
302,Sensor - 303,7
303,Sensor - 304,7
304,Sensor - 305,7
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,98
314,Sensor - 315,98
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,7
327,Sensor - 328,7
328,Sensor - 329,7
329,Sensor - 330,7
330,Sensor - 331,7
331,Sensor - 332,7
332,Sensor - 333,35
333,Sensor - 334,35
334,Sensor - 335,35
335,Sensor - 336,35
336,Sensor - 337,35
337,Sensor - 338,35
338,Sensor - 339,35
339,Sensor - 340,35
340,Sensor - 341,35
341,Sensor - 342,35
342,Sensor - 343,35
343,Sensor - 344,35
344,Sensor - 345,35
345,Sensor - 346,3710
346,Sensor - 347,3710
347,Sensor - 348,35
348,Sensor - 349,168
349,Sensor - 350,168
350,Sensor - 351,168
351,Sensor - 352,168
352,Sensor - 353,168
353,Sensor - 354,168
354,Sensor - 355,168
355,Sensor - 356,168
356,Sensor - 357,7
357,Sensor - 358,14
358,Sensor - 359,4277
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,357
363,Sensor - 364,357
364,Sensor - 365,35
365,Sensor - 366,14
366,Sensor - 367,14
367,Sensor - 368,35
368,Sensor - 369,35
369,Sensor - 370,35
370,Sensor - 371,35
371,Sensor - 372,35
372,Sensor - 373,35
373,Sensor - 374,35
374,Sensor - 375,35
375,Sensor - 376,35
376,Sensor - 377,14
377,Sensor - 378,14
378,Sensor - 379,35
379,Sensor - 380,35
380,Sensor - 381,35
381,Sensor - 382,35
382,Sensor - 383,2016
383,Sensor - 384,2016
384,Sensor - 385,2016
385,Sensor - 386,3899
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,168
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,21
395,Sensor - 396,21
396,Sensor - 397,21
397,Sensor - 398,21
398,Sensor - 399,21
399,Sensor - 400,21
400,Sensor - 401,21
401,Sensor - 402,21
402,Sensor - 403,21
403,Sensor - 404,21
404,Sensor - 405,21
405,Sensor - 406,21
406,Sensor - 407,21
407,Sensor - 408,21
408,Sensor - 409,0
409,Sensor - 410,7
410,Sensor - 411,21
411,Sensor - 412,91
412,Sensor - 413,91
413,Sensor - 414,91
414,Sensor - 415,91
415,Sensor - 416,91
416,Sensor - 417,56
417,Sensor - 418,14
418,Sensor - 419,14
419,Sensor - 420,14
420,Sensor - 421,14
421,Sensor - 422,14
422,Sensor - 423,21
423,Sensor - 424,21
424,Sensor - 425,21
425,Sensor - 426,21
426,Sensor - 427,21
427,Sensor - 428,21
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,7
431,Sensor - 432,7
432,Sensor - 433,7
433,Sensor - 434,7
434,Sensor - 435,7
435,Sensor - 436,7
436,Sensor - 437,7
437,Sensor - 438,7
438,Sensor - 439,7
439,Sensor - 440,7
440,Sensor - 441,7
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,98
450,Sensor - 451,98
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,7
463,Sensor - 464,7
464,Sensor - 465,7
465,Sensor - 466,7
466,Sensor - 467,7
467,Sensor - 468,7
468,Sensor - 469,35
469,Sensor - 470,35
470,Sensor - 471,35
471,Sensor - 472,35
472,Sensor - 473,35
473,Sensor - 474,35
474,Sensor - 475,35
475,Sensor - 476,35
476,Sensor - 477,35
477,Sensor - 478,35
478,Sensor - 479,35
479,Sensor - 480,35
480,Sensor - 481,35
481,Sensor - 482,35
482,Sensor - 483,168
483,Sensor - 484,168
484,Sensor - 485,168
485,Sensor - 486,168
486,Sensor - 487,168
487,Sensor - 488,168
488,Sensor - 489,168
489,Sensor - 490,168
490,Sensor - 491,7
491,Sensor - 492,14
492,Sensor - 493,4277
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,357
497,Sensor - 498,357
498,Sensor - 499,35
499,Sensor - 500,14
500,Sensor - 501,14
501,Sensor - 502,35
502,Sensor - 503,35
503,Sensor - 504,35
504,Sensor - 505,35
505,Sensor - 506,35
506,Sensor - 507,35
507,Sensor - 508,35
508,Sensor - 509,35
509,Sensor - 510,35
510,Sensor - 511,14
511,Sensor - 512,14
512,Sensor - 513,35
513,Sensor - 514,35
514,Sensor - 515,35
515,Sensor - 516,35
516,Sensor - 517,2016
517,Sensor - 518,2016
518,Sensor - 519,2016
519,Sensor - 520,3899
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,168
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,21
529,Sensor - 530,21
530,Sensor - 531,21
531,Sensor - 532,21
532,Sensor - 533,21
533,Sensor - 534,21
534,Sensor - 535,21
535,Sensor - 536,21
536,Sensor - 537,21
537,Sensor - 538,21
538,Sensor - 539,21
539,Sensor - 540,21
540,Sensor - 541,21
541,Sensor - 542,21
542,Sensor - 543,14
543,Sensor - 544,14
544,Sensor - 545,14
545,Sensor - 546,14
546,Sensor - 547,511
547,Sensor - 548,511
548,Sensor - 549,511
549,Sensor - 550,511
550,Sensor - 551,511
551,Sensor - 552,511
552,Sensor - 553,511
553,Sensor - 554,511
554,Sensor - 555,511
555,Sensor - 556,511
556,Sensor - 557,511
557,Sensor - 558,511
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,105
563,Sensor - 564,105
564,Sensor - 565,105
565,Sensor - 566,105
566,Sensor - 567,105
567,Sensor - 568,105
568,Sensor - 569,105
569,Sensor - 570,105
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,3514
579,Sensor - 580,3514
580,Sensor - 581,3514
581,Sensor - 582,3514
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
